cell_id,night_light_avg
1043,33.10383224487305
949,31.2896671295166
1608,30.262500762939453
1514,38.092498779296875
1702,32.12483215332031
1609,36.10150146484375
1515,43.295833587646484
1703,34.158668518066406
1610,31.930500030517578
1516,30.882999420166016
1704,36.13783264160156
1611,28.517333984375
1796,
1984,4.828499794006348
1797,31.15833282470703
1891,22.957500457763672
1985,6.10699987411499
1892,35.90166473388672
1986,16.763750076293945
1798,42.390499114990234
1893,27.411666870117188
2173,8.210166931152344
2079,6.190333366394043
2174,20.324167251586914
2080,16.741500854492188
2268,15.52833366394043
2175,26.9114990234375
2363,15.973999977111816
2364,35.16849899291992
2458,20.77916717529297
1799,29.105833053588867
1987,24.836082458496094
1894,22.241832733154297
1988,28.602249145507812
1800,19.477333068847656
1895,24.911333084106445
1801,20.015666961669922
1989,30.09408187866211
1802,21.56450080871582
1990,28.480499267578125
2081,25.190834045410156
2269,24.40250015258789
2176,44.39583206176758
2082,32.56716537475586
2270,52.149749755859375
2177,52.88683319091797
2083,32.919166564941406
2271,72.91650390625
2272,62.902835845947266
2084,32.86949920654297
2365,44.76850128173828
2553,15.360833168029785
2459,21.911832809448242
2366,47.02233123779297
2460,28.013500213623047
2648,19.138500213623047
2554,23.940418243408203
2367,46.47966766357422
2649,22.291000366210938
1896,24.43866729736328
1991,24.613916397094727
1803,15.539166450500488
1897,18.08966636657715
1992,17.31974983215332
1804,9.755167007446289
1898,11.354833602905273
1805,9.992666244506836
1993,11.181833267211914
1899,8.947833061218262
2178,44.958499908447266
2085,30.25349998474121
2179,35.94649887084961
2273,43.474998474121094
2180,23.23200035095215
2274,32.77991485595703
2086,20.246000289916992
2181,12.328166961669922
2087,10.490833282470703
2275,24.916749954223633
2461,40.33883285522461
2555,29.45233154296875
2368,42.446998596191406
2650,28.904499053955078
2462,44.98466491699219
2556,33.675167083740234
2557,44.226585388183594
2651,49.715667724609375
2463,42.48849868774414
2369,37.36216735839844
104,
292,17.21816635131836
198,17.550251007080078
293,21.03933334350586
199,12.03183364868164
294,18.340999603271484
386,18.181167602539062
480,27.069250106811523
574,34.522666931152344
481,40.451332092285156
575,40.225833892822266
387,33.942665100097656
388,16.37066650390625
482,18.838001251220703
576,30.562999725341797
483,
668,35.10933303833008
856,29.113000869750977
762,32.40358352661133
669,37.830833435058594
857,24.90483283996582
763,29.09149932861328
858,27.868499755859375
670,30.358999252319336
764,23.864582061767578
859,24.256000518798828
577,
389,
671,19.89583396911621
765,20.339750289916992
860,14.415499687194824
672,
766,13.695249557495117
673,
861,11.727167129516602
767,13.692750930786133
768,13.422582626342773
862,13.868666648864746
769,10.511666297912598
863,18.77716636657715
770,15.233833312988281
864,25.55233383178711
771,33.54316711425781
865,37.72533416748047
1232,32.271331787109375
1326,32.52983474731445
1420,40.842750549316406
1233,30.501333236694336
1421,42.416748046875
1327,32.137664794921875
1328,34.144500732421875
1422,33.36216735839844
1234,32.246498107910156
1329,40.72800064086914
1044,29.197166442871094
950,29.17799949645996
1138,31.6704158782959
951,27.03499984741211
1045,28.301000595092773
1139,31.28333282470703
952,31.04599952697754
1140,27.921667098999023
1046,24.442832946777344
953,24.63800048828125
1517,31.123167037963867
1705,27.747249603271484
1612,21.946500778198242
1518,21.138500213623047
1706,21.16791534423828
1613,13.33566665649414
1707,16.219083786010742
1519,10.251333236694336
1614,10.634333610534668
1708,14.914083480834961
1423,38.05891418457031
1235,36.24733352661133
1330,28.556167602539062
1236,27.41033363342285
1424,24.817249298095703
1425,11.506000518798828
1331,12.193333625793457
1237,12.033499717712402
1426,26.22949981689453
1332,30.897666931152344
1141,28.935333251953125
1047,19.911251068115234
954,16.695833206176758
1142,26.32433319091797
1048,19.809833526611328
955,18.531665802001953
1049,18.717666625976562
1143,14.200666427612305
956,24.831832885742188
1144,8.241833686828613
1050,18.705583572387695
1145,8.729000091552734
1051,24.410917282104492
957,36.35616683959961
1146,9.099666595458984
1052,30.399749755859375
958,48.070167541503906
1147,8.923999786376953
959,51.34333419799805
1053,30.59524917602539
1520,12.447333335876465
1615,15.21833324432373
1709,12.100666046142578
1521,27.06599998474121
1616,24.8526668548584
1710,12.230999946594238
1522,44.13916778564453
1617,30.264667510986328
1711,17.633832931518555
1523,46.78533172607422
1238,11.793499946594238
1333,57.02083206176758
1427,57.37466812133789
1239,15.428667068481445
1334,58.10308074951172
1428,75.26483154296875
1240,13.84000015258789
1241,12.674500465393066
1429,72.04866790771484
1335,52.69783020019531
1430,58.207332611083984
1242,11.97366714477539
1336,43.27750015258789
1431,42.82350158691406
1243,11.032833099365234
1337,26.270999908447266
1432,32.034000396728516
1244,14.500166893005371
1338,18.270750045776367
1433,27.67566680908203
1054,29.537250518798828
960,55.70066833496094
1148,9.604166984558105
1149,13.0086669921875
1055,26.526500701904297
961,39.86800003051758
962,27.939167022705078
1056,24.52975082397461
1150,18.24066734313965
1057,31.61783218383789
772,51.03466796875
866,53.1523323059082
867,41.8038330078125
868,
869,45.908668518066406
870,33.337501525878906
871,16.285165786743164
872,19.258499145507812
873,22.638166427612305
874,24.666833877563477
875,33.30983352661133
876,
2558,47.98341751098633
2652,56.322998046875
2464,42.18716812133789
2370,36.919334411621094
2559,41.11425018310547
2653,50.03450012207031
2465,37.044334411621094
2371,35.38666534423828
2560,37.33283233642578
2654,48.928165435791016
1994,9.146749496459961
1900,10.726333618164062
1806,15.291000366210938
1995,13.032083511352539
1901,16.588333129882812
1807,21.82033348083496
1808,32.05266571044922
1902,24.512332916259766
1996,21.090831756591797
1809,38.535499572753906
2276,22.046749114990234
2182,8.682833671569824
2088,7.452499866485596
2089,9.734833717346191
2183,10.156000137329102
2277,23.27225112915039
2278,25.05233383178711
2184,15.009499549865723
2090,16.51300048828125
2279,25.008167266845703
2466,31.829833984375
2372,31.351165771484375
2467,28.253334045410156
2373,25.387332916259766
2561,35.68016815185547
2562,36.466583251953125
2374,27.64699935913086
2468,30.013500213623047
2563,43.8216667175293
2375,42.65850067138672
1903,32.31666564941406
1997,30.34775161743164
1810,37.47366714477539
1998,33.75033187866211
1904,35.137916564941406
1999,44.10933303833008
1811,35.361000061035156
1905,38.94000244140625
2000,34.83100128173828
1812,33.617000579833984
2091,25.39666748046875
2185,22.809667587280273
2280,26.671001434326172
2186,32.5994987487793
2092,34.73099899291992
2281,36.52983474731445
2093,46.23666763305664
2187,43.122833251953125
2282,27.418167114257812
2094,33.7158317565918
2469,43.93600082397461
2564,40.78733444213867
2376,34.551334381103516
2470,37.3216667175293
