cell_id,centroid_lat,centroid_lon,noise_night_count,peak_hour
6981,40.606974386997585,-73.81665472936038,15,22
6982,40.61080594239538,-73.8166272917943,2,0
6888,40.611383976175745,-73.82053036942511,88,4
6512,40.611287049581634,-73.84449149300212,0,-1
6606,40.611351233211174,-73.84024278661605,0,-1
6701,40.616277858474014,-73.8326254376523,0,-1
6513,40.6154833574848,-73.84506149685517,0,-1
6702,40.62014416686542,-73.83230636421683,0,-1
6323,40.60788352155183,-73.85549464666558,0,-1
6324,40.61112981270034,-73.85605649976115,0,-1
6418,40.61142867241746,-73.8511900275455,0,-1
6325,40.615241811379796,-73.85647414223668,0,-1
6232,40.62021771509952,-73.8606743383251,0,-1
6326,40.621285280134295,-73.8565550284287,0,-1
6795,40.61584628879266,-73.82654261665752,0,-1
6889,40.615557436119055,-73.8207716454468,1,5
6983,40.61446819137163,-73.81656912190742,0,-1
7078,40.620251062512146,-73.80776043277456,0,-1
6890,40.6200451438298,-73.82071345815686,0,-1
6984,40.620466775824106,-73.81457279022464,0,-1
6796,40.620121103632954,-73.82660258064273,0,-1
6891,40.62464703572795,-73.8208024453779,0,-1
6233,40.62458769997145,-73.860971675778,0,-1
6327,40.62492110756334,-73.85607668211223,0,-1
6421,40.624754712686865,-73.85026538101286,0,-1
6328,40.629433960325386,-73.85574012900271,0,-1
6422,40.6294675816853,-73.85033247391311,0,-1
6423,40.63387778680764,-73.8500225682411,0,-1
6329,40.63352951425772,-73.85490466123747,0,-1
6130,40.58463074136673,-73.8681625728108,0,-1
5942,40.5846324516674,-73.88049905808842,0,-1
5943,40.58903395331121,-73.88110323079626,0,-1
6131,40.588642541337734,-73.86776867119144,0,-1
5944,40.59347570516904,-73.88174984966396,0,-1
5851,40.59818866123703,-73.88607889918507,0,-1
5757,40.598245494984106,-73.8919872418855,0,-1
5852,40.60268367597212,-73.88601837236023,0,-1
5758,40.602124655110906,-73.8916988085046,0,-1
5664,40.60196319278021,-73.89787464121339,0,-1
5665,40.607608563300516,-73.89773100016838,0,-1
5759,40.60817281151219,-73.8936282197254,0,-1
5760,40.611554249401394,-73.89263933004847,0,-1
5945,40.59783198999929,-73.88221048590023,0,-1
5475,40.59841418330609,-73.90971237043128,1,23
5569,40.598358256021136,-73.90380397759813,0,-1
5382,40.60273336040159,-73.9158554150515,0,-1
5476,40.60262987117426,-73.91006227862482,26,22
