cell_id,centroid_lat,centroid_lon,noise_night_count,peak_hour,night_light_avg,high_noise_risk,noise_night_count_log1p
5911,40.8683969766972,-73.88156277245022,907,22,59.13524627685547,1,6.811244378601294
6005,40.86833929686309,-73.87563050498895,47,22,38.955665588378906,0,3.871201010907891
6193,40.86822302213127,-73.86376602188476,1211,22,70.06892395019531,1,7.10002716662926
6194,40.87272635554309,-73.86368902726926,710,23,63.82291412353516,1,6.566672429803241
5912,40.87290033756112,-73.88148698317812,1208,23,62.16091537475586,1,7.097548850614793
6006,40.87284264862443,-73.87555431393127,1198,23,48.58649826049805,1,7.089243155027514
6100,40.87278465461757,-73.86962166193135,510,23,52.26433181762695,1,6.236369590203704
5913,40.87740369478141,-73.88141117675002,1326,22,68.50333404541016,1,7.190676034332207
6007,40.877345996740935,-73.87547810562668,1487,23,56.291500091552734,1,7.305188215393037
5349,40.87789205387684,-73.91691481722066,168,23,46.96549987792969,0,5.1298987149230735
5538,40.88213482522465,-73.90506941626344,781,23,78.42491149902344,1,6.661854740545311
5444,40.8821910064999,-73.91100297426887,220,22,57.35100173950195,0,5.3981627015177525
5350,40.88224688259356,-73.91693654898437,190,22,41.83566665649414,0,5.25227342804663
5539,40.88663821110086,-73.90499518378743,1409,23,66.5459976196289,1,7.251344983372214
5445,40.88669440124163,-73.91092914387308,257,22,48.63966751098633,0,5.552959584921617
5351,40.88675028615268,-73.91686312067307,15,22,34.57866668701172,0,2.772588722239781
5540,40.89114159333791,-73.90492093450608,45,2,56.90341567993164,0,3.828641396489095
5446,40.8911977923454,-73.91085529676295,342,0,40.21266555786133,0,5.8377304471659395
5352,40.89113339785886,-73.91644287700144,28,22,26.7586669921875,0,3.367295829986474
5819,40.87746108770104,-73.8873442650338,677,23,91.1433334350586,1,6.519147287940395
5820,40.88196445033445,-73.88726884341706,377,23,66.70516967773438,0,5.934894195619588
5726,40.88202154713943,-73.89320235074658,254,22,56.24883270263672,0,5.541263545158426
5632,40.882078338770334,-73.89913587505902,1526,22,53.02466583251953,1,7.3310603052186325
5821,40.886467809325225,-73.88719340472646,13,0,39.823001861572266,0,2.6390573296152584
5727,40.88652491514014,-73.89312731412313,274,0,39.92316818237305,0,5.616771097666572
